
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,379.966,379.966,379.966,0.000,379.966,379.966,379.966,379.966,1,µm^2,Surface,,,,,1,
Area,397.778,397.778,397.778,0.000,397.778,397.778,397.778,397.778,1,µm^2,Surface,,,,,2,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Delta Length,1.135,1.135,1.135,0.000,1.135,1.135,1.135,1.135,1,µm,Surface,,,,,2,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta X,0.377,0.377,0.377,0.000,0.377,0.377,0.377,0.377,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Y,-0.089,-0.089,-0.089,0.000,-0.089,-0.089,-0.089,-0.089,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,1,
Displacement Delta Z,-1.066,-1.066,-1.066,0.000,-1.066,-1.066,-1.066,-1.066,1,µm,Surface,,Displacement Delta,,,2,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,1,
Displacement Length,1.135,1.135,1.135,0.000,1.135,1.135,1.135,1.135,1,µm,Surface,,,,,2,
Distance from Origin,9931.873,9931.873,9931.873,0.000,9931.873,9931.873,9931.873,9931.873,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,9931.071,9931.071,9931.071,0.000,9931.071,9931.071,9931.071,9931.071,1,µm,Surface,,Distance from Origin,,,2,
Distance to Image Border XY,12.797,12.797,12.797,0.000,12.797,12.797,12.797,12.797,1,µm,Surface,,,Image 1,,1,
Distance to Image Border XY,12.885,12.885,12.885,0.000,12.885,12.885,12.885,12.885,1,µm,Surface,,,Image 1,,2,
Ellipticity (oblate),0.287,0.287,0.287,0.000,0.287,0.287,0.287,0.287,1,,Surface,,,,,1,
Ellipticity (oblate),0.271,0.271,0.271,0.000,0.271,0.271,0.271,0.271,1,,Surface,,,,,2,
Ellipticity (prolate),0.605,0.605,0.605,0.000,0.605,0.605,0.605,0.605,1,,Surface,,,,,1,
Ellipticity (prolate),0.583,0.583,0.583,0.000,0.583,0.583,0.583,0.583,1,,Surface,,,,,2,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,1,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,2,
Intensity Max,288.000,288.000,288.000,0.000,288.000,288.000,288.000,288.000,1,,Surface,2,,Image 1,,1,
Intensity Max,185.000,185.000,185.000,0.000,185.000,185.000,185.000,185.000,1,,Surface,1,,Image 1,,1,
Intensity Max,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,3,,Image 1,,1,
Intensity Max,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,4,,Image 1,,1,
Intensity Max,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,5,,Image 1,,1,
Intensity Max,296.000,296.000,296.000,0.000,296.000,296.000,296.000,296.000,1,,Surface,2,,Image 1,,2,
Intensity Max,177.000,177.000,177.000,0.000,177.000,177.000,177.000,177.000,1,,Surface,1,,Image 1,,2,
Intensity Max,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,3,,Image 1,,2,
Intensity Max,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,4,,Image 1,,2,
Intensity Max,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,5,,Image 1,,2,
Intensity Mean,134.713,134.713,134.713,0.000,134.713,134.713,134.713,134.713,1,,Surface,2,,Image 1,,1,
