
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,30.285,30.285,30.285,0.000,30.285,30.285,30.285,30.285,1,µm^2,Surface,,,,,34,
Area,67.766,67.766,67.766,0.000,67.766,67.766,67.766,67.766,1,µm^2,Surface,,,,,35,
Area,100.376,100.376,100.376,0.000,100.376,100.376,100.376,100.376,1,µm^2,Surface,,,,,36,
Area,116.103,116.103,116.103,0.000,116.103,116.103,116.103,116.103,1,µm^2,Surface,,,,,37,
Area,136.478,136.478,136.478,0.000,136.478,136.478,136.478,136.478,1,µm^2,Surface,,,,,38,
Area,95.730,95.730,95.730,0.000,95.730,95.730,95.730,95.730,1,µm^2,Surface,,,,,39,
Area,106.364,106.364,106.364,0.000,106.364,106.364,106.364,106.364,1,µm^2,Surface,,,,,40,
Area,107.653,107.653,107.653,0.000,107.653,107.653,107.653,107.653,1,µm^2,Surface,,,,,41,
Area,125.035,125.035,125.035,0.000,125.035,125.035,125.035,125.035,1,µm^2,Surface,,,,,42,
Area,79.859,79.859,79.859,0.000,79.859,79.859,79.859,79.859,1,µm^2,Surface,,,,,43,
Area,33.562,33.562,33.562,0.000,33.562,33.562,33.562,33.562,1,µm^2,Surface,,,,,44,
Area,27.522,27.522,27.522,0.000,27.522,27.522,27.522,27.522,1,µm^2,Surface,,,,,45,
Area,22.130,22.130,22.130,0.000,22.130,22.130,22.130,22.130,1,µm^2,Surface,,,,,46,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,34,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,35,
Class Duration,240.032,240.032,240.032,0.000,240.032,240.032,240.032,240.032,1,s,Surface,,Set 1::Class A,,,36,
Class Duration,240.032,240.032,240.032,0.000,240.032,240.032,240.032,240.032,1,s,Surface,,Set 1::Class A,,,37,
Class Duration,240.032,240.032,240.032,0.000,240.032,240.032,240.032,240.032,1,s,Surface,,Set 1::Class A,,,38,
Class Duration,240.032,240.032,240.032,0.000,240.032,240.032,240.032,240.032,1,s,Surface,,Set 1::Class A,,,39,
Class Duration,240.032,240.032,240.032,0.000,240.032,240.032,240.032,240.032,1,s,Surface,,Set 1::Class A,,,40,
Class Duration,299.952,299.952,299.952,0.000,299.952,299.952,299.952,299.952,1,s,Surface,,Set 1::Class B,,,41,
Class Duration,299.952,299.952,299.952,0.000,299.952,299.952,299.952,299.952,1,s,Surface,,Set 1::Class B,,,42,
