
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,77.067,77.067,77.067,0.000,77.067,77.067,77.067,77.067,1,µm^2,Surface,,,,,,34,
Area,107.603,107.603,107.603,0.000,107.603,107.603,107.603,107.603,1,µm^2,Surface,,,,,,35,
Area,127.667,127.667,127.667,0.000,127.667,127.667,127.667,127.667,1,µm^2,Surface,,,,,,36,
Area,147.712,147.712,147.712,0.000,147.712,147.712,147.712,147.712,1,µm^2,Surface,,,,,,37,
Area,161.226,161.226,161.226,0.000,161.226,161.226,161.226,161.226,1,µm^2,Surface,,,,,,38,
Area,171.287,171.287,171.287,0.000,171.287,171.287,171.287,171.287,1,µm^2,Surface,,,,,,39,
Area,166.535,166.535,166.535,0.000,166.535,166.535,166.535,166.535,1,µm^2,Surface,,,,,,40,
Area,164.067,164.067,164.067,0.000,164.067,164.067,164.067,164.067,1,µm^2,Surface,,,,,,41,
Area,146.158,146.158,146.158,0.000,146.158,146.158,146.158,146.158,1,µm^2,Surface,,,,,,42,
Area,130.506,130.506,130.506,0.000,130.506,130.506,130.506,130.506,1,µm^2,Surface,,,,,,43,
Area,108.749,108.749,108.749,0.000,108.749,108.749,108.749,108.749,1,µm^2,Surface,,,,,,44,
Area,119.721,119.721,119.721,0.000,119.721,119.721,119.721,119.721,1,µm^2,Surface,,,,,,45,
Area,127.619,127.619,127.619,0.000,127.619,127.619,127.619,127.619,1,µm^2,Surface,,,,,,46,
Area,151.326,151.326,151.326,0.000,151.326,151.326,151.326,151.326,1,µm^2,Surface,,,,,,47,
Area,181.019,181.019,181.019,0.000,181.019,181.019,181.019,181.019,1,µm^2,Surface,,,,,,48,
Area,178.269,178.269,178.269,0.000,178.269,178.269,178.269,178.269,1,µm^2,Surface,,,,,,49,
Area,184.918,184.918,184.918,0.000,184.918,184.918,184.918,184.918,1,µm^2,Surface,,,,,,50,
Area,174.019,174.019,174.019,0.000,174.019,174.019,174.019,174.019,1,µm^2,Surface,,,,,,51,
Area,177.144,177.144,177.144,0.000,177.144,177.144,177.144,177.144,1,µm^2,Surface,,,,,,52,
Area,183.166,183.166,183.166,0.000,183.166,183.166,183.166,183.166,1,µm^2,Surface,,,,,,53,
Area,186.643,186.643,186.643,0.000,186.643,186.643,186.643,186.643,1,µm^2,Surface,,,,,,54,
Area,198.111,198.111,198.111,0.000,198.111,198.111,198.111,198.111,1,µm^2,Surface,,,,,,55,
Area,189.512,189.512,189.512,0.000,189.512,189.512,189.512,189.512,1,µm^2,Surface,,,,,,56,
Area,181.087,181.087,181.087,0.000,181.087,181.087,181.087,181.087,1,µm^2,Surface,,,,,,57,
Class Duration,59.999,59.999,59.999,0.000,59.999,59.999,59.999,59.999,1,s,Surface,,Set 1::Class A,,,,34,
Class Duration,59.999,59.999,59.999,0.000,59.999,59.999,59.999,59.999,1,s,Surface,,Set 1::Class A,,,,35,
Class Duration,119.985,119.985,119.985,0.000,119.985,119.985,119.985,119.985,1,s,Surface,,Set 1::Class B,,,,36,
Class Duration,119.985,119.985,119.985,0.000,119.985,119.985,119.985,119.985,1,s,Surface,,Set 1::Class B,,,,37,
Class Duration,119.985,119.985,119.985,0.000,119.985,119.985,119.985,119.985,1,s,Surface,,Set 1::Class B,,,,38,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,39,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class B,,,,40,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class B,,,,41,
Class Duration,120.001,120.001,120.001,0.000,120.001,120.001,120.001,120.001,1,s,Surface,,Set 1::Class B,,,,42,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,43,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,44,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,45,
Class Duration,180.021,180.021,180.021,0.000,180.021,180.021,180.021,180.021,1,s,Surface,,Set 1::Class B,,,,46,
Class Duration,180.021,180.021,180.021,0.000,180.021,180.021,180.021,180.021,1,s,Surface,,Set 1::Class B,,,,47,
Class Duration,180.021,180.021,180.021,0.000,180.021,180.021,180.021,180.021,1,s,Surface,,Set 1::Class B,,,,48,
Class Duration,180.021,180.021,180.021,0.000,180.021,180.021,180.021,180.021,1,s,Surface,,Set 1::Class B,,,,49,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,50,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,51,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,52,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,53,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,54,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,55,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,56,
Class Duration,420.008,420.008,420.008,0.000,420.008,420.008,420.008,420.008,1,s,Surface,,Set 1::Class A,,,,57,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,34,
Displacement Delta Length,0.628,0.628,0.628,0.000,0.628,0.628,0.628,0.628,1,µm,Surface,,,,,,35,
Displacement Delta Length,1.889,1.889,1.889,0.000,1.889,1.889,1.889,1.889,1,µm,Surface,,,,,,36,
Displacement Delta Length,1.636,1.636,1.636,0.000,1.636,1.636,1.636,1.636,1,µm,Surface,,,,,,37,
Displacement Delta Length,1.300,1.300,1.300,0.000,1.300,1.300,1.300,1.300,1,µm,Surface,,,,,,38,
Displacement Delta Length,0.722,0.722,0.722,0.000,0.722,0.722,0.722,0.722,1,µm,Surface,,,,,,39,
Displacement Delta Length,1.222,1.222,1.222,0.000,1.222,1.222,1.222,1.222,1,µm,Surface,,,,,,40,
Displacement Delta Length,1.793,1.793,1.793,0.000,1.793,1.793,1.793,1.793,1,µm,Surface,,,,,,41,
Displacement Delta Length,1.438,1.438,1.438,0.000,1.438,1.438,1.438,1.438,1,µm,Surface,,,,,,42,
Displacement Delta Length,0.761,0.761,0.761,0.000,0.761,0.761,0.761,0.761,1,µm,Surface,,,,,,43,
Displacement Delta Length,0.978,0.978,0.978,0.000,0.978,0.978,0.978,0.978,1,µm,Surface,,,,,,44,
Displacement Delta Length,0.804,0.804,0.804,0.000,0.804,0.804,0.804,0.804,1,µm,Surface,,,,,,45,
Displacement Delta Length,1.132,1.132,1.132,0.000,1.132,1.132,1.132,1.132,1,µm,Surface,,,,,,46,
Displacement Delta Length,0.984,0.984,0.984,0.000,0.984,0.984,0.984,0.984,1,µm,Surface,,,,,,47,
Displacement Delta Length,1.578,1.578,1.578,0.000,1.578,1.578,1.578,1.578,1,µm,Surface,,,,,,48,
Displacement Delta Length,1.174,1.174,1.174,0.000,1.174,1.174,1.174,1.174,1,µm,Surface,,,,,,49,
Displacement Delta Length,0.313,0.313,0.313,0.000,0.313,0.313,0.313,0.313,1,µm,Surface,,,,,,50,
Displacement Delta Length,0.315,0.315,0.315,0.000,0.315,0.315,0.315,0.315,1,µm,Surface,,,,,,51,
Displacement Delta Length,0.772,0.772,0.772,0.000,0.772,0.772,0.772,0.772,1,µm,Surface,,,,,,52,
Displacement Delta Length,0.416,0.416,0.416,0.000,0.416,0.416,0.416,0.416,1,µm,Surface,,,,,,53,
Displacement Delta Length,0.081,0.081,0.081,0.000,0.081,0.081,0.081,0.081,1,µm,Surface,,,,,,54,
Displacement Delta Length,0.484,0.484,0.484,0.000,0.484,0.484,0.484,0.484,1,µm,Surface,,,,,,55,
Displacement Delta Length,0.279,0.279,0.279,0.000,0.279,0.279,0.279,0.279,1,µm,Surface,,,,,,56,
Displacement Delta Length,0.477,0.477,0.477,0.000,0.477,0.477,0.477,0.477,1,µm,Surface,,,,,,57,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta X,0.581,0.581,0.581,0.000,0.581,0.581,0.581,0.581,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta X,1.029,1.029,1.029,0.000,1.029,1.029,1.029,1.029,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta X,0.584,0.584,0.584,0.000,0.584,0.584,0.584,0.584,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta X,0.188,0.188,0.188,0.000,0.188,0.188,0.188,0.188,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta X,0.307,0.307,0.307,0.000,0.307,0.307,0.307,0.307,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta X,0.557,0.557,0.557,0.000,0.557,0.557,0.557,0.557,1,µm,Surface,,,Displacement Delta,,,40,
Displacement Delta X,-0.052,-0.052,-0.052,0.000,-0.052,-0.052,-0.052,-0.052,1,µm,Surface,,,Displacement Delta,,,41,
Displacement Delta X,0.066,0.066,0.066,0.000,0.066,0.066,0.066,0.066,1,µm,Surface,,,Displacement Delta,,,42,
Displacement Delta X,0.518,0.518,0.518,0.000,0.518,0.518,0.518,0.518,1,µm,Surface,,,Displacement Delta,,,43,
Displacement Delta X,-0.156,-0.156,-0.156,0.000,-0.156,-0.156,-0.156,-0.156,1,µm,Surface,,,Displacement Delta,,,44,
Displacement Delta X,0.300,0.300,0.300,0.000,0.300,0.300,0.300,0.300,1,µm,Surface,,,Displacement Delta,,,45,
Displacement Delta X,0.927,0.927,0.927,0.000,0.927,0.927,0.927,0.927,1,µm,Surface,,,Displacement Delta,,,46,
Displacement Delta X,0.566,0.566,0.566,0.000,0.566,0.566,0.566,0.566,1,µm,Surface,,,Displacement Delta,,,47,
Displacement Delta X,0.187,0.187,0.187,0.000,0.187,0.187,0.187,0.187,1,µm,Surface,,,Displacement Delta,,,48,
Displacement Delta X,0.206,0.206,0.206,0.000,0.206,0.206,0.206,0.206,1,µm,Surface,,,Displacement Delta,,,49,
Displacement Delta X,0.083,0.083,0.083,0.000,0.083,0.083,0.083,0.083,1,µm,Surface,,,Displacement Delta,,,50,
Displacement Delta X,0.090,0.090,0.090,0.000,0.090,0.090,0.090,0.090,1,µm,Surface,,,Displacement Delta,,,51,
Displacement Delta X,0.237,0.237,0.237,0.000,0.237,0.237,0.237,0.237,1,µm,Surface,,,Displacement Delta,,,52,
Displacement Delta X,0.353,0.353,0.353,0.000,0.353,0.353,0.353,0.353,1,µm,Surface,,,Displacement Delta,,,53,
Displacement Delta X,-0.006,-0.006,-0.006,0.000,-0.006,-0.006,-0.006,-0.006,1,µm,Surface,,,Displacement Delta,,,54,
Displacement Delta X,-0.041,-0.041,-0.041,0.000,-0.041,-0.041,-0.041,-0.041,1,µm,Surface,,,Displacement Delta,,,55,
Displacement Delta X,-0.128,-0.128,-0.128,0.000,-0.128,-0.128,-0.128,-0.128,1,µm,Surface,,,Displacement Delta,,,56,
Displacement Delta X,-0.013,-0.013,-0.013,0.000,-0.013,-0.013,-0.013,-0.013,1,µm,Surface,,,Displacement Delta,,,57,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,34,
Displacement Delta Y,-0.238,-0.238,-0.238,0.000,-0.238,-0.238,-0.238,-0.238,1,µm,Surface,,,Displacement Delta,,,35,
Displacement Delta Y,1.093,1.093,1.093,0.000,1.093,1.093,1.093,1.093,1,µm,Surface,,,Displacement Delta,,,36,
Displacement Delta Y,1.232,1.232,1.232,0.000,1.232,1.232,1.232,1.232,1,µm,Surface,,,Displacement Delta,,,37,
Displacement Delta Y,1.236,1.236,1.236,0.000,1.236,1.236,1.236,1.236,1,µm,Surface,,,Displacement Delta,,,38,
Displacement Delta Y,0.583,0.583,0.583,0.000,0.583,0.583,0.583,0.583,1,µm,Surface,,,Displacement Delta,,,39,
Displacement Delta Y,0.880,0.880,0.880,0.000,0.880,0.880,0.880,0.880,1,µm,Surface,,,Displacement Delta,,,40,
