
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Time,
Area,43.588,43.588,43.588,0.000,43.588,43.588,43.588,43.588,1,µm^2,Surface,,,,,18,
Area,89.587,89.587,89.587,0.000,89.587,89.587,89.587,89.587,1,µm^2,Surface,,,,,19,
Area,80.750,80.750,80.750,0.000,80.750,80.750,80.750,80.750,1,µm^2,Surface,,,,,20,
Area,110.377,110.377,110.377,0.000,110.377,110.377,110.377,110.377,1,µm^2,Surface,,,,,21,
Area,119.519,119.519,119.519,0.000,119.519,119.519,119.519,119.519,1,µm^2,Surface,,,,,22,
Area,129.892,129.892,129.892,0.000,129.892,129.892,129.892,129.892,1,µm^2,Surface,,,,,23,
Area,140.745,140.745,140.745,0.000,140.745,140.745,140.745,140.745,1,µm^2,Surface,,,,,24,
Area,78.296,78.296,78.296,0.000,78.296,78.296,78.296,78.296,1,µm^2,Surface,,,,,25,
Area,72.556,72.556,72.556,0.000,72.556,72.556,72.556,72.556,1,µm^2,Surface,,,,,26,
Area,67.302,67.302,67.302,0.000,67.302,67.302,67.302,67.302,1,µm^2,Surface,,,,,27,
Area,50.377,50.377,50.377,0.000,50.377,50.377,50.377,50.377,1,µm^2,Surface,,,,,28,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,18,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,19,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,20,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,21,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,22,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,23,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,24,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,27,
Class Duration,540.016,540.016,540.016,0.000,540.016,540.016,540.016,540.016,1,s,Surface,,Set 1::Class B,,,28,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,18,
Displacement Delta Length,1.377,1.377,1.377,0.000,1.377,1.377,1.377,1.377,1,µm,Surface,,,,,19,
Displacement Delta Length,1.609,1.609,1.609,0.000,1.609,1.609,1.609,1.609,1,µm,Surface,,,,,20,
