
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,93.779,93.779,93.779,0.000,93.779,93.779,93.779,93.779,1,µm^2,Surface,,,,,8,
Area,120.948,120.948,120.948,0.000,120.948,120.948,120.948,120.948,1,µm^2,Surface,,,,,9,
Area,138.123,138.123,138.123,0.000,138.123,138.123,138.123,138.123,1,µm^2,Surface,,,,,10,
Area,153.486,153.486,153.486,0.000,153.486,153.486,153.486,153.486,1,µm^2,Surface,,,,,11,
Area,152.351,152.351,152.351,0.000,152.351,152.351,152.351,152.351,1,µm^2,Surface,,,,,12,
Area,164.943,164.943,164.943,0.000,164.943,164.943,164.943,164.943,1,µm^2,Surface,,,,,13,
Area,161.019,161.019,161.019,0.000,161.019,161.019,161.019,161.019,1,µm^2,Surface,,,,,14,
Area,170.483,170.483,170.483,0.000,170.483,170.483,170.483,170.483,1,µm^2,Surface,,,,,15,
Area,197.608,197.608,197.608,0.000,197.608,197.608,197.608,197.608,1,µm^2,Surface,,,,,16,
Area,202.577,202.577,202.577,0.000,202.577,202.577,202.577,202.577,1,µm^2,Surface,,,,,17,
Area,70.477,70.477,70.477,0.000,70.477,70.477,70.477,70.477,1,µm^2,Surface,,,,,18,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,8,
Displacement Delta Length,1.674,1.674,1.674,0.000,1.674,1.674,1.674,1.674,1,µm,Surface,,,,,9,
Displacement Delta Length,0.742,0.742,0.742,0.000,0.742,0.742,0.742,0.742,1,µm,Surface,,,,,10,
Displacement Delta Length,0.592,0.592,0.592,0.000,0.592,0.592,0.592,0.592,1,µm,Surface,,,,,11,
Displacement Delta Length,1.125,1.125,1.125,0.000,1.125,1.125,1.125,1.125,1,µm,Surface,,,,,12,
Displacement Delta Length,1.254,1.254,1.254,0.000,1.254,1.254,1.254,1.254,1,µm,Surface,,,,,13,
Displacement Delta Length,1.446,1.446,1.446,0.000,1.446,1.446,1.446,1.446,1,µm,Surface,,,,,14,
Displacement Delta Length,1.223,1.223,1.223,0.000,1.223,1.223,1.223,1.223,1,µm,Surface,,,,,15,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,16,
Displacement Delta Length,0.764,0.764,0.764,0.000,0.764,0.764,0.764,0.764,1,µm,Surface,,,,,17,
Displacement Delta Length,2.207,2.207,2.207,0.000,2.207,2.207,2.207,2.207,1,µm,Surface,,,,,18,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,8,
Displacement Delta X,0.055,0.055,0.055,0.000,0.055,0.055,0.055,0.055,1,µm,Surface,,Displacement Delta,,,9,
Displacement Delta X,0.635,0.635,0.635,0.000,0.635,0.635,0.635,0.635,1,µm,Surface,,Displacement Delta,,,10,
Displacement Delta X,0.377,0.377,0.377,0.000,0.377,0.377,0.377,0.377,1,µm,Surface,,Displacement Delta,,,11,
Displacement Delta X,0.055,0.055,0.055,0.000,0.055,0.055,0.055,0.055,1,µm,Surface,,Displacement Delta,,,12,
Displacement Delta X,0.126,0.126,0.126,0.000,0.126,0.126,0.126,0.126,1,µm,Surface,,Displacement Delta,,,13,
Displacement Delta X,0.497,0.497,0.497,0.000,0.497,0.497,0.497,0.497,1,µm,Surface,,Displacement Delta,,,14,
