
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,0.924,0.924,0.924,0.000,0.924,0.924,0.924,0.924,1,µm^2,Surface,,,,,22,
Area,99.681,99.681,99.681,0.000,99.681,99.681,99.681,99.681,1,µm^2,Surface,,,,,23,
Area,134.587,134.587,134.587,0.000,134.587,134.587,134.587,134.587,1,µm^2,Surface,,,,,24,
Area,138.513,138.513,138.513,0.000,138.513,138.513,138.513,138.513,1,µm^2,Surface,,,,,25,
Area,139.504,139.504,139.504,0.000,139.504,139.504,139.504,139.504,1,µm^2,Surface,,,,,26,
Area,137.071,137.071,137.071,0.000,137.071,137.071,137.071,137.071,1,µm^2,Surface,,,,,27,
Area,128.825,128.825,128.825,0.000,128.825,128.825,128.825,128.825,1,µm^2,Surface,,,,,28,
Area,181.943,181.943,181.943,0.000,181.943,181.943,181.943,181.943,1,µm^2,Surface,,,,,29,
Area,203.657,203.657,203.657,0.000,203.657,203.657,203.657,203.657,1,µm^2,Surface,,,,,30,
Area,209.947,209.947,209.947,0.000,209.947,209.947,209.947,209.947,1,µm^2,Surface,,,,,31,
Area,219.289,219.289,219.289,0.000,219.289,219.289,219.289,219.289,1,µm^2,Surface,,,,,32,
Area,241.001,241.001,241.001,0.000,241.001,241.001,241.001,241.001,1,µm^2,Surface,,,,,33,
Area,250.637,250.637,250.637,0.000,250.637,250.637,250.637,250.637,1,µm^2,Surface,,,,,34,
Area,255.129,255.129,255.129,0.000,255.129,255.129,255.129,255.129,1,µm^2,Surface,,,,,35,
Area,250.727,250.727,250.727,0.000,250.727,250.727,250.727,250.727,1,µm^2,Surface,,,,,36,
Area,264.249,264.249,264.249,0.000,264.249,264.249,264.249,264.249,1,µm^2,Surface,,,,,37,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,22,
Displacement Delta Length,2.144,2.144,2.144,0.000,2.144,2.144,2.144,2.144,1,µm,Surface,,,,,23,
Displacement Delta Length,1.332,1.332,1.332,0.000,1.332,1.332,1.332,1.332,1,µm,Surface,,,,,24,
Displacement Delta Length,1.336,1.336,1.336,0.000,1.336,1.336,1.336,1.336,1,µm,Surface,,,,,25,
Displacement Delta Length,1.722,1.722,1.722,0.000,1.722,1.722,1.722,1.722,1,µm,Surface,,,,,26,
Displacement Delta Length,1.010,1.010,1.010,0.000,1.010,1.010,1.010,1.010,1,µm,Surface,,,,,27,
Displacement Delta Length,0.211,0.211,0.211,0.000,0.211,0.211,0.211,0.211,1,µm,Surface,,,,,28,
Displacement Delta Length,0.702,0.702,0.702,0.000,0.702,0.702,0.702,0.702,1,µm,Surface,,,,,29,
Displacement Delta Length,0.780,0.780,0.780,0.000,0.780,0.780,0.780,0.780,1,µm,Surface,,,,,30,
Displacement Delta Length,0.764,0.764,0.764,0.000,0.764,0.764,0.764,0.764,1,µm,Surface,,,,,31,
Displacement Delta Length,1.077,1.077,1.077,0.000,1.077,1.077,1.077,1.077,1,µm,Surface,,,,,32,
Displacement Delta Length,1.079,1.079,1.079,0.000,1.079,1.079,1.079,1.079,1,µm,Surface,,,,,33,
Displacement Delta Length,0.971,0.971,0.971,0.000,0.971,0.971,0.971,0.971,1,µm,Surface,,,,,34,
Displacement Delta Length,0.553,0.553,0.553,0.000,0.553,0.553,0.553,0.553,1,µm,Surface,,,,,35,
Displacement Delta Length,0.610,0.610,0.610,0.000,0.610,0.610,0.610,0.610,1,µm,Surface,,,,,36,
Displacement Delta Length,0.320,0.320,0.320,0.000,0.320,0.320,0.320,0.320,1,µm,Surface,,,,,37,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,1.016,1.016,1.016,0.000,1.016,1.016,1.016,1.016,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,-0.200,-0.200,-0.200,0.000,-0.200,-0.200,-0.200,-0.200,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,-0.305,-0.305,-0.305,0.000,-0.305,-0.305,-0.305,-0.305,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,-0.650,-0.650,-0.650,0.000,-0.650,-0.650,-0.650,-0.650,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,-0.969,-0.969,-0.969,0.000,-0.969,-0.969,-0.969,-0.969,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,-0.109,-0.109,-0.109,0.000,-0.109,-0.109,-0.109,-0.109,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,-0.379,-0.379,-0.379,0.000,-0.379,-0.379,-0.379,-0.379,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta X,0.245,0.245,0.245,0.000,0.245,0.245,0.245,0.245,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta X,0.749,0.749,0.749,0.000,0.749,0.749,0.749,0.749,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta X,0.853,0.853,0.853,0.000,0.853,0.853,0.853,0.853,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta X,0.792,0.792,0.792,0.000,0.792,0.792,0.792,0.792,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta X,0.615,0.615,0.615,0.000,0.615,0.615,0.615,0.615,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta X,-0.161,-0.161,-0.161,0.000,-0.161,-0.161,-0.161,-0.161,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta X,0.023,0.023,0.023,0.000,0.023,0.023,0.023,0.023,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta X,0.125,0.125,0.125,0.000,0.125,0.125,0.125,0.125,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,1.888,1.888,1.888,0.000,1.888,1.888,1.888,1.888,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,0.305,0.305,0.305,0.000,0.305,0.305,0.305,0.305,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,-1.287,-1.287,-1.287,0.000,-1.287,-1.287,-1.287,-1.287,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-1.482,-1.482,-1.482,0.000,-1.482,-1.482,-1.482,-1.482,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,-0.191,-0.191,-0.191,0.000,-0.191,-0.191,-0.191,-0.191,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,-0.004,-0.004,-0.004,0.000,-0.004,-0.004,-0.004,-0.004,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,-0.129,-0.129,-0.129,0.000,-0.129,-0.129,-0.129,-0.129,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.523,0.523,0.523,0.000,0.523,0.523,0.523,0.523,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Y,0.115,0.115,0.115,0.000,0.115,0.115,0.115,0.115,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Y,0.323,0.323,0.323,0.000,0.323,0.323,0.323,0.323,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Y,-0.295,-0.295,-0.295,0.000,-0.295,-0.295,-0.295,-0.295,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Y,-0.093,-0.093,-0.093,0.000,-0.093,-0.093,-0.093,-0.093,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Y,-0.415,-0.415,-0.415,0.000,-0.415,-0.415,-0.415,-0.415,1,µm,Surface,,Displacement Delta,,,35,
Displacement Delta Y,0.125,0.125,0.125,0.000,0.125,0.125,0.125,0.125,1,µm,Surface,,Displacement Delta,,,36,
Displacement Delta Y,-0.224,-0.224,-0.224,0.000,-0.224,-0.224,-0.224,-0.224,1,µm,Surface,,Displacement Delta,,,37,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Z,0.008,0.008,0.008,0.000,0.008,0.008,0.008,0.008,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Z,-1.281,-1.281,-1.281,0.000,-1.281,-1.281,-1.281,-1.281,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Z,-0.187,-0.187,-0.187,0.000,-0.187,-0.187,-0.187,-0.187,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Z,0.586,0.586,0.586,0.000,0.586,0.586,0.586,0.586,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Z,-0.215,-0.215,-0.215,0.000,-0.215,-0.215,-0.215,-0.215,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,-0.181,-0.181,-0.181,0.000,-0.181,-0.181,-0.181,-0.181,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Z,0.576,0.576,0.576,0.000,0.576,0.576,0.576,0.576,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,0.524,0.524,0.524,0.000,0.524,0.524,0.524,0.524,1,µm,Surface,,Displacement Delta,,,30,
Displacement Delta Z,0.098,0.098,0.098,0.000,0.098,0.098,0.098,0.098,1,µm,Surface,,Displacement Delta,,,31,
Displacement Delta Z,0.574,0.574,0.574,0.000,0.574,0.574,0.574,0.574,1,µm,Surface,,Displacement Delta,,,32,
Displacement Delta Z,-0.671,-0.671,-0.671,0.000,-0.671,-0.671,-0.671,-0.671,1,µm,Surface,,Displacement Delta,,,33,
Displacement Delta Z,-0.745,-0.745,-0.745,0.000,-0.745,-0.745,-0.745,-0.745,1,µm,Surface,,Displacement Delta,,,34,
Displacement Delta Z,-0.329,-0.329,-0.329,0.000,-0.329,-0.329,-0.329,-0.329,1,µm,Surface,,Displacement Delta,,,35,
