
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,214.183,214.183,214.183,0.000,214.183,214.183,214.183,214.183,1,µm^2,Surface,,,,,1,
Area,226.945,226.945,226.945,0.000,226.945,226.945,226.945,226.945,1,µm^2,Surface,,,,,2,
Area,220.829,220.829,220.829,0.000,220.829,220.829,220.829,220.829,1,µm^2,Surface,,,,,3,
Area,239.416,239.416,239.416,0.000,239.416,239.416,239.416,239.416,1,µm^2,Surface,,,,,4,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,2,
Displacement Delta Length,2.429,2.429,2.429,0.000,2.429,2.429,2.429,2.429,1,µm,Surface,,,,,3,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta X,-1.420,-1.420,-1.420,0.000,-1.420,-1.420,-1.420,-1.420,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Y,-1.963,-1.963,-1.963,0.000,-1.963,-1.963,-1.963,-1.963,1,µm,Surface,,Displacement Delta,,,3,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,2,
Displacement Delta Z,-0.171,-0.171,-0.171,0.000,-0.171,-0.171,-0.171,-0.171,1,µm,Surface,,Displacement Delta,,,3,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,2,
Displacement Length,2.429,2.429,2.429,0.000,2.429,2.429,2.429,2.429,1,µm,Surface,,,,,3,
Distance from Origin,12632.368,12632.368,12632.368,0.000,12632.368,12632.368,12632.368,12632.368,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,12634.358,12634.358,12634.358,0.000,12634.358,12634.358,12634.358,12634.358,1,µm,Surface,,Distance from Origin,,,2,
Distance from Origin,12634.832,12634.832,12634.832,0.000,12634.832,12634.832,12634.832,12634.832,1,µm,Surface,,Distance from Origin,,,3,
Distance from Origin,12637.079,12637.079,12637.079,0.000,12637.079,12637.079,12637.079,12637.079,1,µm,Surface,,Distance from Origin,,,4,
Distance to Image Border XY,18.217,18.217,18.217,0.000,18.217,18.217,18.217,18.217,1,µm,Surface,,,Image 1,,1,
Distance to Image Border XY,16.158,16.158,16.158,0.000,16.158,16.158,16.158,16.158,1,µm,Surface,,,Image 1,,2,
Distance to Image Border XY,14.633,14.633,14.633,0.000,14.633,14.633,14.633,14.633,1,µm,Surface,,,Image 1,,3,
Distance to Image Border XY,10.028,10.028,10.028,0.000,10.028,10.028,10.028,10.028,1,µm,Surface,,,Image 1,,4,
Ellipticity (oblate),0.283,0.283,0.283,0.000,0.283,0.283,0.283,0.283,1,,Surface,,,,,1,
Ellipticity (oblate),0.136,0.136,0.136,0.000,0.136,0.136,0.136,0.136,1,,Surface,,,,,2,
Ellipticity (oblate),0.205,0.205,0.205,0.000,0.205,0.205,0.205,0.205,1,,Surface,,,,,3,
Ellipticity (oblate),0.366,0.366,0.366,0.000,0.366,0.366,0.366,0.366,1,,Surface,,,,,4,
Ellipticity (prolate),0.160,0.160,0.160,0.000,0.160,0.160,0.160,0.160,1,,Surface,,,,,1,
Ellipticity (prolate),0.186,0.186,0.186,0.000,0.186,0.186,0.186,0.186,1,,Surface,,,,,2,
Ellipticity (prolate),0.219,0.219,0.219,0.000,0.219,0.219,0.219,0.219,1,,Surface,,,,,3,
Ellipticity (prolate),0.288,0.288,0.288,0.000,0.288,0.288,0.288,0.288,1,,Surface,,,,,4,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,Surface,,,,,1,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,2,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,3,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,2,,Surface,,,,,4,
Intensity Max,287.000,287.000,287.000,0.000,287.000,287.000,287.000,287.000,1,,Surface,1,,Image 1,,1,
Intensity Max,302.000,302.000,302.000,0.000,302.000,302.000,302.000,302.000,1,,Surface,1,,Image 1,,2,
Intensity Max,284.000,284.000,284.000,0.000,284.000,284.000,284.000,284.000,1,,Surface,1,,Image 1,,3,
Intensity Max,304.000,304.000,304.000,0.000,304.000,304.000,304.000,304.000,1,,Surface,1,,Image 1,,4,
Intensity Mean,134.056,134.056,134.056,0.000,134.056,134.056,134.056,134.056,1,,Surface,1,,Image 1,,1,
Intensity Mean,128.426,128.426,128.426,0.000,128.426,128.426,128.426,128.426,1,,Surface,1,,Image 1,,2,
Intensity Mean,125.079,125.079,125.079,0.000,125.079,125.079,125.079,125.079,1,,Surface,1,,Image 1,,3,
Intensity Mean,124.122,124.122,124.122,0.000,124.122,124.122,124.122,124.122,1,,Surface,1,,Image 1,,4,
Intensity Median,131.062,131.062,131.062,0.000,131.062,131.062,131.062,131.062,1,,Surface,1,,Image 1,,1,
Intensity Median,125.062,125.062,125.062,0.000,125.062,125.062,125.062,125.062,1,,Surface,1,,Image 1,,2,
Intensity Median,122.062,122.062,122.062,0.000,122.062,122.062,122.062,122.062,1,,Surface,1,,Image 1,,3,
Intensity Median,121.125,121.125,121.125,0.000,121.125,121.125,121.125,121.125,1,,Surface,1,,Image 1,,4,
Intensity Min,74.000,74.000,74.000,0.000,74.000,74.000,74.000,74.000,1,,Surface,1,,Image 1,,1,
Intensity Min,70.000,70.000,70.000,0.000,70.000,70.000,70.000,70.000,1,,Surface,1,,Image 1,,2,
Intensity Min,63.000,63.000,63.000,0.000,63.000,63.000,63.000,63.000,1,,Surface,1,,Image 1,,3,
Intensity Min,52.000,52.000,52.000,0.000,52.000,52.000,52.000,52.000,1,,Surface,1,,Image 1,,4,
Intensity StdDev,23.272,23.272,23.272,0.000,23.272,23.272,23.272,23.272,1,,Surface,1,,Image 1,,1,
Intensity StdDev,21.596,21.596,21.596,0.000,21.596,21.596,21.596,21.596,1,,Surface,1,,Image 1,,2,
Intensity StdDev,20.493,20.493,20.493,0.000,20.493,20.493,20.493,20.493,1,,Surface,1,,Image 1,,3,
Intensity StdDev,20.518,20.518,20.518,0.000,20.518,20.518,20.518,20.518,1,,Surface,1,,Image 1,,4,
Intensity Sum,3653818.000,3653818.000,3653818.000,0.000,3653818.000,3653818.000,3653818.000,3653818.000,1,,Surface,1,,Image 1,,1,
