
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,218.177,218.177,218.177,0.000,218.177,218.177,218.177,218.177,1,µm^2,Surface,,,,,1,
Area,180.876,180.876,180.876,0.000,180.876,180.876,180.876,180.876,1,µm^2,Surface,,,,,2,
Distance from Origin,12621.409,12621.409,12621.409,0.000,12621.409,12621.409,12621.409,12621.409,1,µm,Surface,,Distance from Origin,,,1,
Distance from Origin,12620.058,12620.058,12620.058,0.000,12620.058,12620.058,12620.058,12620.058,1,µm,Surface,,Distance from Origin,,,2,
Distance to Image Border XY,13.920,13.920,13.920,0.000,13.920,13.920,13.920,13.920,1,µm,Surface,,,Image 1,,1,
Distance to Image Border XY,11.550,11.550,11.550,0.000,11.550,11.550,11.550,11.550,1,µm,Surface,,,Image 1,,2,
Ellipticity (oblate),0.299,0.299,0.299,0.000,0.299,0.299,0.299,0.299,1,,Surface,,,,,1,
Ellipticity (oblate),0.475,0.475,0.475,0.000,0.475,0.475,0.475,0.475,1,,Surface,,,,,2,
Ellipticity (prolate),0.403,0.403,0.403,0.000,0.403,0.403,0.403,0.403,1,,Surface,,,,,1,
Ellipticity (prolate),0.298,0.298,0.298,0.000,0.298,0.298,0.298,0.298,1,,Surface,,,,,2,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,1,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,2,
Intensity Max,333.000,333.000,333.000,0.000,333.000,333.000,333.000,333.000,1,,Surface,1,,Image 1,,1,
Intensity Max,278.000,278.000,278.000,0.000,278.000,278.000,278.000,278.000,1,,Surface,1,,Image 1,,2,
Intensity Mean,135.971,135.971,135.971,0.000,135.971,135.971,135.971,135.971,1,,Surface,1,,Image 1,,1,
Intensity Mean,127.830,127.830,127.830,0.000,127.830,127.830,127.830,127.830,1,,Surface,1,,Image 1,,2,
Intensity Median,133.125,133.125,133.125,0.000,133.125,133.125,133.125,133.125,1,,Surface,1,,Image 1,,1,
Intensity Median,125.062,125.062,125.062,0.000,125.062,125.062,125.062,125.062,1,,Surface,1,,Image 1,,2,
Intensity Min,68.000,68.000,68.000,0.000,68.000,68.000,68.000,68.000,1,,Surface,1,,Image 1,,1,
Intensity Min,68.000,68.000,68.000,0.000,68.000,68.000,68.000,68.000,1,,Surface,1,,Image 1,,2,
Intensity StdDev,27.430,27.430,27.430,0.000,27.430,27.430,27.430,27.430,1,,Surface,1,,Image 1,,1,
Intensity StdDev,20.712,20.712,20.712,0.000,20.712,20.712,20.712,20.712,1,,Surface,1,,Image 1,,2,
