
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Collection,Image,Surfaces,Time,
Area,125.446,125.446,125.446,0.000,125.446,125.446,125.446,125.446,1,µm^2,Surface,,,,,18,
Area,133.112,133.112,133.112,0.000,133.112,133.112,133.112,133.112,1,µm^2,Surface,,,,,19,
Area,113.069,113.069,113.069,0.000,113.069,113.069,113.069,113.069,1,µm^2,Surface,,,,,20,
Area,200.517,200.517,200.517,0.000,200.517,200.517,200.517,200.517,1,µm^2,Surface,,,,,21,
Area,204.149,204.149,204.149,0.000,204.149,204.149,204.149,204.149,1,µm^2,Surface,,,,,22,
Area,199.021,199.021,199.021,0.000,199.021,199.021,199.021,199.021,1,µm^2,Surface,,,,,23,
Area,203.377,203.377,203.377,0.000,203.377,203.377,203.377,203.377,1,µm^2,Surface,,,,,24,
Area,207.301,207.301,207.301,0.000,207.301,207.301,207.301,207.301,1,µm^2,Surface,,,,,25,
Area,185.712,185.712,185.712,0.000,185.712,185.712,185.712,185.712,1,µm^2,Surface,,,,,26,
Area,150.943,150.943,150.943,0.000,150.943,150.943,150.943,150.943,1,µm^2,Surface,,,,,27,
Area,88.786,88.786,88.786,0.000,88.786,88.786,88.786,88.786,1,µm^2,Surface,,,,,28,
Area,69.012,69.012,69.012,0.000,69.012,69.012,69.012,69.012,1,µm^2,Surface,,,,,29,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,18,
Displacement Delta Length,0.989,0.989,0.989,0.000,0.989,0.989,0.989,0.989,1,µm,Surface,,,,,19,
Displacement Delta Length,1.314,1.314,1.314,0.000,1.314,1.314,1.314,1.314,1,µm,Surface,,,,,20,
Displacement Delta Length,0.776,0.776,0.776,0.000,0.776,0.776,0.776,0.776,1,µm,Surface,,,,,21,
Displacement Delta Length,0.874,0.874,0.874,0.000,0.874,0.874,0.874,0.874,1,µm,Surface,,,,,22,
Displacement Delta Length,0.746,0.746,0.746,0.000,0.746,0.746,0.746,0.746,1,µm,Surface,,,,,23,
Displacement Delta Length,1.284,1.284,1.284,0.000,1.284,1.284,1.284,1.284,1,µm,Surface,,,,,24,
Displacement Delta Length,0.974,0.974,0.974,0.000,0.974,0.974,0.974,0.974,1,µm,Surface,,,,,25,
Displacement Delta Length,0.588,0.588,0.588,0.000,0.588,0.588,0.588,0.588,1,µm,Surface,,,,,26,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,27,
Displacement Delta Length,0.761,0.761,0.761,0.000,0.761,0.761,0.761,0.761,1,µm,Surface,,,,,28,
Displacement Delta Length,1.268,1.268,1.268,0.000,1.268,1.268,1.268,1.268,1,µm,Surface,,,,,29,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta X,0.901,0.901,0.901,0.000,0.901,0.901,0.901,0.901,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta X,-0.908,-0.908,-0.908,0.000,-0.908,-0.908,-0.908,-0.908,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta X,-0.278,-0.278,-0.278,0.000,-0.278,-0.278,-0.278,-0.278,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta X,0.401,0.401,0.401,0.000,0.401,0.401,0.401,0.401,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta X,0.263,0.263,0.263,0.000,0.263,0.263,0.263,0.263,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta X,-0.423,-0.423,-0.423,0.000,-0.423,-0.423,-0.423,-0.423,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta X,0.643,0.643,0.643,0.000,0.643,0.643,0.643,0.643,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta X,0.504,0.504,0.504,0.000,0.504,0.504,0.504,0.504,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta X,-0.646,-0.646,-0.646,0.000,-0.646,-0.646,-0.646,-0.646,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta X,-0.043,-0.043,-0.043,0.000,-0.043,-0.043,-0.043,-0.043,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Y,-0.037,-0.037,-0.037,0.000,-0.037,-0.037,-0.037,-0.037,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Y,0.045,0.045,0.045,0.000,0.045,0.045,0.045,0.045,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Y,-0.711,-0.711,-0.711,0.000,-0.711,-0.711,-0.711,-0.711,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Y,-0.720,-0.720,-0.720,0.000,-0.720,-0.720,-0.720,-0.720,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Y,-0.504,-0.504,-0.504,0.000,-0.504,-0.504,-0.504,-0.504,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Y,-1.203,-1.203,-1.203,0.000,-1.203,-1.203,-1.203,-1.203,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Y,-0.729,-0.729,-0.729,0.000,-0.729,-0.729,-0.729,-0.729,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Y,-0.271,-0.271,-0.271,0.000,-0.271,-0.271,-0.271,-0.271,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Y,0.164,0.164,0.164,0.000,0.164,0.164,0.164,0.164,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Y,1.264,1.264,1.264,0.000,1.264,1.264,1.264,1.264,1,µm,Surface,,Displacement Delta,,,29,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,18,
Displacement Delta Z,-0.404,-0.404,-0.404,0.000,-0.404,-0.404,-0.404,-0.404,1,µm,Surface,,Displacement Delta,,,19,
Displacement Delta Z,0.949,0.949,0.949,0.000,0.949,0.949,0.949,0.949,1,µm,Surface,,Displacement Delta,,,20,
Displacement Delta Z,-0.141,-0.141,-0.141,0.000,-0.141,-0.141,-0.141,-0.141,1,µm,Surface,,Displacement Delta,,,21,
Displacement Delta Z,0.291,0.291,0.291,0.000,0.291,0.291,0.291,0.291,1,µm,Surface,,Displacement Delta,,,22,
Displacement Delta Z,-0.483,-0.483,-0.483,0.000,-0.483,-0.483,-0.483,-0.483,1,µm,Surface,,Displacement Delta,,,23,
Displacement Delta Z,0.149,0.149,0.149,0.000,0.149,0.149,0.149,0.149,1,µm,Surface,,Displacement Delta,,,24,
Displacement Delta Z,-0.064,-0.064,-0.064,0.000,-0.064,-0.064,-0.064,-0.064,1,µm,Surface,,Displacement Delta,,,25,
Displacement Delta Z,-0.133,-0.133,-0.133,0.000,-0.133,-0.133,-0.133,-0.133,1,µm,Surface,,Displacement Delta,,,26,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,Displacement Delta,,,27,
Displacement Delta Z,-0.368,-0.368,-0.368,0.000,-0.368,-0.368,-0.368,-0.368,1,µm,Surface,,Displacement Delta,,,28,
Displacement Delta Z,-0.082,-0.082,-0.082,0.000,-0.082,-0.082,-0.082,-0.082,1,µm,Surface,,Displacement Delta,,,29,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,18,
Displacement Length,0.989,0.989,0.989,0.000,0.989,0.989,0.989,0.989,1,µm,Surface,,,,,19,
