
Average
 ==================== 
Variable,Min,Max,Mean,StdDev,Median,Percentile 25%,Percentile 75%,Sum,Count,Unit,Category,Channel,Class,Collection,Image,Surfaces,Time,
Area,39.652,39.652,39.652,0.000,39.652,39.652,39.652,39.652,1,µm^2,Surface,,,,,,18,
Area,90.756,90.756,90.756,0.000,90.756,90.756,90.756,90.756,1,µm^2,Surface,,,,,,19,
Area,122.074,122.074,122.074,0.000,122.074,122.074,122.074,122.074,1,µm^2,Surface,,,,,,20,
Area,159.049,159.049,159.049,0.000,159.049,159.049,159.049,159.049,1,µm^2,Surface,,,,,,21,
Area,145.566,145.566,145.566,0.000,145.566,145.566,145.566,145.566,1,µm^2,Surface,,,,,,22,
Area,173.196,173.196,173.196,0.000,173.196,173.196,173.196,173.196,1,µm^2,Surface,,,,,,23,
Area,160.667,160.667,160.667,0.000,160.667,160.667,160.667,160.667,1,µm^2,Surface,,,,,,24,
Area,156.480,156.480,156.480,0.000,156.480,156.480,156.480,156.480,1,µm^2,Surface,,,,,,25,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,18,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,19,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,20,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class B,,,,21,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class B,,,,22,
Class Duration,119.956,119.956,119.956,0.000,119.956,119.956,119.956,119.956,1,s,Surface,,Set 1::Class B,,,,23,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class A,,,,24,
Class Duration,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,s,Surface,,Set 1::Class B,,,,25,
Displacement Delta Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,18,
Displacement Delta Length,2.197,2.197,2.197,0.000,2.197,2.197,2.197,2.197,1,µm,Surface,,,,,,19,
Displacement Delta Length,0.763,0.763,0.763,0.000,0.763,0.763,0.763,0.763,1,µm,Surface,,,,,,20,
Displacement Delta Length,2.240,2.240,2.240,0.000,2.240,2.240,2.240,2.240,1,µm,Surface,,,,,,21,
Displacement Delta Length,1.037,1.037,1.037,0.000,1.037,1.037,1.037,1.037,1,µm,Surface,,,,,,22,
Displacement Delta Length,1.088,1.088,1.088,0.000,1.088,1.088,1.088,1.088,1,µm,Surface,,,,,,23,
Displacement Delta Length,0.817,0.817,0.817,0.000,0.817,0.817,0.817,0.817,1,µm,Surface,,,,,,24,
Displacement Delta Length,2.872,2.872,2.872,0.000,2.872,2.872,2.872,2.872,1,µm,Surface,,,,,,25,
Displacement Delta X,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta X,-0.148,-0.148,-0.148,0.000,-0.148,-0.148,-0.148,-0.148,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta X,-0.679,-0.679,-0.679,0.000,-0.679,-0.679,-0.679,-0.679,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta X,-0.621,-0.621,-0.621,0.000,-0.621,-0.621,-0.621,-0.621,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta X,0.055,0.055,0.055,0.000,0.055,0.055,0.055,0.055,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta X,1.071,1.071,1.071,0.000,1.071,1.071,1.071,1.071,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta X,-0.207,-0.207,-0.207,0.000,-0.207,-0.207,-0.207,-0.207,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta X,-1.736,-1.736,-1.736,0.000,-1.736,-1.736,-1.736,-1.736,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Y,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Y,-2.085,-2.085,-2.085,0.000,-2.085,-2.085,-2.085,-2.085,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Y,-0.099,-0.099,-0.099,0.000,-0.099,-0.099,-0.099,-0.099,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Y,1.711,1.711,1.711,0.000,1.711,1.711,1.711,1.711,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Y,1.016,1.016,1.016,0.000,1.016,1.016,1.016,1.016,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Y,-0.187,-0.187,-0.187,0.000,-0.187,-0.187,-0.187,-0.187,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Y,0.213,0.213,0.213,0.000,0.213,0.213,0.213,0.213,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Y,2.109,2.109,2.109,0.000,2.109,2.109,2.109,2.109,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Delta Z,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,Displacement Delta,,,18,
Displacement Delta Z,0.675,0.675,0.675,0.000,0.675,0.675,0.675,0.675,1,µm,Surface,,,Displacement Delta,,,19,
Displacement Delta Z,-0.333,-0.333,-0.333,0.000,-0.333,-0.333,-0.333,-0.333,1,µm,Surface,,,Displacement Delta,,,20,
Displacement Delta Z,-1.306,-1.306,-1.306,0.000,-1.306,-1.306,-1.306,-1.306,1,µm,Surface,,,Displacement Delta,,,21,
Displacement Delta Z,0.200,0.200,0.200,0.000,0.200,0.200,0.200,0.200,1,µm,Surface,,,Displacement Delta,,,22,
Displacement Delta Z,-0.003,-0.003,-0.003,0.000,-0.003,-0.003,-0.003,-0.003,1,µm,Surface,,,Displacement Delta,,,23,
Displacement Delta Z,-0.761,-0.761,-0.761,0.000,-0.761,-0.761,-0.761,-0.761,1,µm,Surface,,,Displacement Delta,,,24,
Displacement Delta Z,-0.888,-0.888,-0.888,0.000,-0.888,-0.888,-0.888,-0.888,1,µm,Surface,,,Displacement Delta,,,25,
Displacement Length,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,µm,Surface,,,,,,18,
Displacement Length,2.197,2.197,2.197,0.000,2.197,2.197,2.197,2.197,1,µm,Surface,,,,,,19,
Displacement Length,2.361,2.361,2.361,0.000,2.361,2.361,2.361,2.361,1,µm,Surface,,,,,,20,
Displacement Length,1.803,1.803,1.803,0.000,1.803,1.803,1.803,1.803,1,µm,Surface,,,,,,21,
Displacement Length,1.679,1.679,1.679,0.000,1.679,1.679,1.679,1.679,1,µm,Surface,,,,,,22,
Displacement Length,0.904,0.904,0.904,0.000,0.904,0.904,0.904,0.904,1,µm,Surface,,,,,,23,
Displacement Length,1.713,1.713,1.713,0.000,1.713,1.713,1.713,1.713,1,µm,Surface,,,,,,24,
Displacement Length,4.257,4.257,4.257,0.000,4.257,4.257,4.257,4.257,1,µm,Surface,,,,,,25,
Distance from Origin,13947.733,13947.733,13947.733,0.000,13947.733,13947.733,13947.733,13947.733,1,µm,Surface,,,Distance from Origin,,,18,
Distance from Origin,13947.861,13947.861,13947.861,0.000,13947.861,13947.861,13947.861,13947.861,1,µm,Surface,,,Distance from Origin,,,19,
Distance from Origin,13947.119,13947.119,13947.119,0.000,13947.119,13947.119,13947.119,13947.119,1,µm,Surface,,,Distance from Origin,,,20,
Distance from Origin,13945.967,13945.967,13945.967,0.000,13945.967,13945.967,13945.967,13945.967,1,µm,Surface,,,Distance from Origin,,,21,
Distance from Origin,13946.225,13946.225,13946.225,0.000,13946.225,13946.225,13946.225,13946.225,1,µm,Surface,,,Distance from Origin,,,22,
Distance from Origin,13947.032,13947.032,13947.032,0.000,13947.032,13947.032,13947.032,13947.032,1,µm,Surface,,,Distance from Origin,,,23,
Distance from Origin,13946.412,13946.412,13946.412,0.000,13946.412,13946.412,13946.412,13946.412,1,µm,Surface,,,Distance from Origin,,,24,
Distance from Origin,13944.697,13944.697,13944.697,0.000,13944.697,13944.697,13944.697,13944.697,1,µm,Surface,,,Distance from Origin,,,25,
Distance to Image Border XY,15.955,15.955,15.955,0.000,15.955,15.955,15.955,15.955,1,µm,Surface,,,,Image 1,,18,
Distance to Image Border XY,14.763,14.763,14.763,0.000,14.763,14.763,14.763,14.763,1,µm,Surface,,,,Image 1,,19,
Distance to Image Border XY,13.562,13.562,13.562,0.000,13.562,13.562,13.562,13.562,1,µm,Surface,,,,Image 1,,20,
Distance to Image Border XY,12.627,12.627,12.627,0.000,12.627,12.627,12.627,12.627,1,µm,Surface,,,,Image 1,,21,
Distance to Image Border XY,12.682,12.682,12.682,0.000,12.682,12.682,12.682,12.682,1,µm,Surface,,,,Image 1,,22,
Distance to Image Border XY,13.545,13.545,13.545,0.000,13.545,13.545,13.545,13.545,1,µm,Surface,,,,Image 1,,23,
Distance to Image Border XY,13.859,13.859,13.859,0.000,13.859,13.859,13.859,13.859,1,µm,Surface,,,,Image 1,,24,
Distance to Image Border XY,11.914,11.914,11.914,0.000,11.914,11.914,11.914,11.914,1,µm,Surface,,,,Image 1,,25,
Ellipticity (oblate),0.452,0.452,0.452,0.000,0.452,0.452,0.452,0.452,1,,Surface,,,,,,18,
Ellipticity (oblate),0.399,0.399,0.399,0.000,0.399,0.399,0.399,0.399,1,,Surface,,,,,,19,
Ellipticity (oblate),0.407,0.407,0.407,0.000,0.407,0.407,0.407,0.407,1,,Surface,,,,,,20,
Ellipticity (oblate),0.318,0.318,0.318,0.000,0.318,0.318,0.318,0.318,1,,Surface,,,,,,21,
Ellipticity (oblate),0.167,0.167,0.167,0.000,0.167,0.167,0.167,0.167,1,,Surface,,,,,,22,
Ellipticity (oblate),0.266,0.266,0.266,0.000,0.266,0.266,0.266,0.266,1,,Surface,,,,,,23,
Ellipticity (oblate),0.325,0.325,0.325,0.000,0.325,0.325,0.325,0.325,1,,Surface,,,,,,24,
Ellipticity (oblate),0.375,0.375,0.375,0.000,0.375,0.375,0.375,0.375,1,,Surface,,,,,,25,
Ellipticity (prolate),0.381,0.381,0.381,0.000,0.381,0.381,0.381,0.381,1,,Surface,,,,,,18,
Ellipticity (prolate),0.216,0.216,0.216,0.000,0.216,0.216,0.216,0.216,1,,Surface,,,,,,19,
Ellipticity (prolate),0.261,0.261,0.261,0.000,0.261,0.261,0.261,0.261,1,,Surface,,,,,,20,
Ellipticity (prolate),0.176,0.176,0.176,0.000,0.176,0.176,0.176,0.176,1,,Surface,,,,,,21,
Ellipticity (prolate),0.306,0.306,0.306,0.000,0.306,0.306,0.306,0.306,1,,Surface,,,,,,22,
Ellipticity (prolate),0.308,0.308,0.308,0.000,0.308,0.308,0.308,0.308,1,,Surface,,,,,,23,
Ellipticity (prolate),0.473,0.473,0.473,0.000,0.473,0.473,0.473,0.473,1,,Surface,,,,,,24,
Ellipticity (prolate),0.375,0.375,0.375,0.000,0.375,0.375,0.375,0.375,1,,Surface,,,,,,25,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,18,
Generation,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1,,Surface,,,,,,19,
